<START:location> Стрілковичі (49.5, 23.13333) <END>
<START:location> Звірів (50.78333, 25.56667) <END>
<START:location> Білозерівка (47.91667, 36.18333) <END>
<START:location> Ванжина Долина (49.81264, 33.1935) <END>
<START:location> Вербка-Мурована (49.17369, 27.03387) <END>
<START:location> Lahidne (47.04874, 35.71507) <END>
<START:location> Чемехівський (48.4, 24.6) <END>
<START:location> Lisne (48.3519, 39.21303) <END>
<START:location> Рів (49.08336, 28.05899) <END>
<START:location> Сокиринці (49.17222, 28.60728) <END>
<START:location> Дунавець (48.08333, 25.5) <END>
<START:location> Тростянка (50.85572, 25.19468) <END>
<START:location> Транспортна станція імені Миколи Павлюка (46.51256, 30.70725) <END>
<START:location> Середнє (45.89249, 33.71385) <END>
<START:location> Смоляж (51.21335, 32.05175) <END>
<START:location> Озеро Кардашинський Лиман (46.57627, 32.62738) <END>
<START:location> Вулиця Залізнична (50.11201, 27.58824) <END>
<START:location> Вилівка (49.67482, 36.18232) <END>
<START:location> Довге-Калуське (48.98867, 24.30899) <END>
<START:location> Шевченка (46.79462, 30.88363) <END>
<START:location> Третьяківка (48.16975, 35.50512) <END>
<START:location> Станція Ясіня (48.25584, 24.35317) <END>
<START:location> Kamiane (50.4562, 34.29212) <END>
<START:location> Новоселище (48.0273, 35.01777) <END>
<START:location> Вишнівчик (49.23143, 25.37165) <END>
<START:location> Хареньки (49.97173, 34.18382) <END>
<START:location> Synky (48.47042, 30.27242) <END>
<START:location> Сененкове (50.80476, 33.55583) <END>
<START:location> Олексіївка (48.10073, 33.49453) <END>
<START:location> Попасна (48.6333333, 38.38) <END>
<START:location> Жорниська (49.90809, 23.8269) <END>
<START:location> Лізниця (51.09046, 28.79313) <END>
<START:location> Вересня (51.19419, 30.10109) <END>
<START:location> Носовський район (51, 31.58333) <END>
<START:location> Дергачі (50.10659, 36.12112) <END>
<START:location> Черемушки (49.03936, 33.83634) <END>
<START:location> Гайшин (50.12311, 31.48012) <END>
<START:location> Жовч (48.49523, 39.05051) <END>
<START:location> Mys Tarkhan (45.45851, 36.44632) <END>
<START:location> Zhuki (50.03333, 23.76667) <END>
<START:location> Порубай (49.04088, 33.92602) <END>
<START:location> Vishenskoye sel'skoye poselenye (45.14173, 34.59869) <END>
<START:location> Плесецьке (50.21923, 30.11812) <END>
<START:location> Миколаївка (48.31667, 34.51667) <END>
<START:location> Пікаловка (46.53333, 35) <END>
<START:location> Олександрівка (47.92073, 37.57872) <END>
<START:location> Жовтневе (49.84037, 38.14874) <END>
<START:location> Pryslip (49.1737, 22.95283) <END>
<START:location> Панасівка (49.17453, 33.91531) <END>
<START:location> Герлегівка (50.30472, 36.96278) <END>
<START:location> Новопокровка (47.5047, 35.98827) <END>
<START:location> Луганська ДРЕС (48.74907, 39.26366) <END>
<START:location> Новопригожжя (48.78456, 36.76611) <END>
<START:location> Залізничний вокзал Кременчук (49.06819, 33.42874) <END>
<START:location> Майорськ (48.40316, 38.00913) <END>
<START:location> Чабанівка (48.48941, 22.54601) <END>
<START:location> Одеський Деканат (46.48042, 30.7393) <END>
<START:location> Латишівка (49.45992, 34.76929) <END>
<START:location> Павловка (44.44845, 33.79029) <END>
<START:location> Дорогов (49.15988, 24.53876) <END>
<START:location> Кулишівка (50.46041, 32.53474) <END>
<START:location> Григорівка (49, 27.15) <END>
<START:location> Веселий (49.78833, 37.63361) <END>
<START:location> Дехтярка-2 (49.46579, 27.01525) <END>
<START:location> Єкатеринівка (48.44083, 38.43972) <END>
<START:location> Okhotnich'e (44.47049, 34.06873) <END>
<START:location> Зубівщина (50.96034, 28.81672) <END>
<START:location> Землянки I (48.1726, 37.89347) <END>
<START:location> Виноградне (47.22635, 31.09723) <END>
<START:location> Zhaden (51.717, 26.82744) <END>
<START:location> Олександрівка (49.67111, 35.21497) <END>
<START:location> Сороки (49.0062, 25.37336) <END>
<START:location> Скелі Адалари (44.54173, 34.29718) <END>
<START:location> Ільічанка (46.61204, 30.8124) <END>
<START:location> Великий Букрин (49.94852, 31.31557) <END>
<START:location> Васильків (48.98537, 31.31781) <END>
<START:location> Дружба (47.9703, 33.18645) <END>
<START:location> Новомарівка (48.82915, 36.44355) <END>
<START:location> Срібне (50.20016, 25.33123) <END>
<START:location> Baleine (49.41528, -2.36167) <END>
<START:location> Центральний (48.35056, 38.57278) <END>
<START:location> Шовкове (50.33006, 31.30894) <END>
<START:location> Петровського (51.23333, 33.41667) <END>
<START:location> Зелений Гай (47.45524, 32.52196) <END>
<START:location> Великовка (47.73333, 31.06667) <END>
<START:location> Балівка (49.38576, 34.42527) <END>
<START:location> Каленікі (49.86626, 31.84002) <END>
<START:location> Новоотрадное (45.38326, 36.05039) <END>
<START:location> Болехівці (49.3361, 23.59524) <END>
<START:location> Пултівці (49.18221, 28.18781) <END>
<START:location> Білка (49.59724, 24.62335) <END>
<START:location> Поліське (51.3958, 33.07735) <END>
<START:location> Галенкове (50.71562, 33.61478) <END>
<START:location> Терні (48.17962, 33.53448) <END>
<START:location> Марківка (49.5636, 34.66427) <END>
<START:location> Таш-Хабах-Богаз (44.81667, 34.45) <END>
<START:location> Пришиб (48.08015, 36.12607) <END>
<START:location> Станція Софіно-Брідська (48.04207, 38.76985) <END>
<START:location> Печера Бузлук-Хоба (44.87527, 34.46216) <END>
<START:location> Кавунівка (48.84563, 31.39666) <END>
<START:location> Богданівка (48.05416, 35.58339) <END>
<START:location> Zoriane (47.0264, 35.69836) <END>
<START:location> Bakkara Art-Hotel (50.44601, 30.56874) <END>
<START:location> Євецько-Миколаївка (48.79824, 35.36744) <END>
<START:location> Григоровичі (50.58604, 25.09329) <END>
<START:location> Бабарі (46.21667, 32.4) <END>
<START:location> Шевченкове (50.98132, 34.74764) <END>
<START:location> Смоківка (50.2857, 28.73368) <END>
<START:location> Харцизьк (48.037411, 38.160301) <END>
<START:location> Єкатеринофельд (47.78333, 35.58333) <END>
<START:location> Староконстантинов (49.74806, 27.27333) <END>
<START:location> Дружне (50.65, 26.75) <END>
<START:location> Юрківка (47.6545, 35.65502) <END>
<START:location> Крок Хрещатик (51.05, 33.7) <END>
<START:location> Перекоп (49.45393, 23.86998) <END>
<START:location> Сасанівка (49.95597, 27.29581) <END>
<START:location> Lidyne (50.98837, 34.17475) <END>
<START:location> Татарка (48.4, 35.55) <END>
<START:location> Семенівка (48.78921, 28.3405) <END>
<START:location> Вільна Терешківка (49.18079, 33.40123) <END>
<START:location> Жданівка (47.30547, 33.42475) <END>
<START:location> Дмитрово (45.05841, 34.25594) <END>
<START:location> Невирівка (50.60668, 28.50121) <END>
<START:location> Білозориний (48.58846, 24.51753) <END>
<START:location> Затишне (50.28025, 30.87471) <END>
<START:location> Олейники (49.24863, 36.07397) <END>
<START:location> Дідівщина (51.65664, 33.39111) <END>
<START:location> Kubey (45.79131, 28.74455) <END>
<START:location> Рудка (50.42039, 25.39653) <END>
<START:location> Слобода (51.19806, 33.60695) <END>
<START:location> Левадки (44.87083, 34.04278) <END>
<START:location> Сахни (50.0372, 35.61582) <END>
<START:location> Хрипаки (50.33917, 33.8463) <END>
<START:location> Кантемир (46.11101, 30.07914) <END>
<START:location> Топчине (48.945, 34.79899) <END>
<START:location> Мис Тюбень (44.84083, 33.56069) <END>
<START:location> Дружне (44.89617, 34.29385) <END>
<START:location> Буджак (46.30239, 29.23965) <END>
<START:location> Вулиця Драхана (50.78388, 29.26966) <END>
<START:location> Єлизаветівка (48.35721, 38.96147) <END>
<START:location> Нові Сали (50.66347, 28.76891) <END>
<START:location> Сковородинівка (50.15787, 35.77338) <END>
<START:location> Берті (49.16432, 30.21838) <END>
<START:location> Киселівка (50.63001, 28.0876) <END>
<START:location> Безпавлівський (47.76667, 38.55) <END>
<START:location> Федорівка Друга (48.76314, 37.85238) <END>
<START:location> Никифоровцы (49.0121, 28.68842) <END>
<START:location> Братишев (48.93389, 25.04591) <END>
<START:location> Balmee (49.41278, -2.35944) <END>
<START:location> Астахово (47.86667, 39.61667) <END>
<START:location> Ямпільський старостинський округ (48.92192, 37.9539) <END>
<START:location> Маслій (50.17069, 36.04796) <END>
<START:location> Новомихайлівка (47.74502, 32.73645) <END>
<START:location> Тимир'язівка (50.95794, 34.35496) <END>
<START:location> Осташки (49.50623, 26.84875) <END>
<START:location> Ternopil’s’ka Mis’krada (49.56179, 25.57204) <END>
<START:location> Андріївка (49.12236, 37.11745) <END>
<START:location> Просяна (48.11368, 36.37175) <END>
<START:location> Новомиколаївський район (47.97868, 35.89654) <END>
<START:location> Великий Молодьків (50.58351, 27.42024) <END>
<START:location> Миколаївка (47.79445, 31.47251) <END>
<START:location> Українець (47.78155, 31.54082) <END>
<START:location> Burbyne (50.58925, 33.4518) <END>
<START:location> Tykhe (50.96459, 26.54987) <END>
<START:location> Окорське Озеро (50.74909, 24.93146) <END>
<START:location> Вишневський (46.55, 34.8) <END>
<START:location> Вугледар (47.77974, 37.24992) <END>
<START:location> Клімуш (47.29444, 38.16972) <END>
<START:location> Верхоли (49.59132, 34.66618) <END>
<START:location> Анновка (47.91667, 36.05) <END>
<START:location> Вилкове (45.40279, 29.5869) <END>
<START:location> Скворцівка (46.5707, 33.94713) <END>
<START:location> Федорівка (49.77741, 34.43745) <END>
<START:location> Деревки (49.9941, 34.70896) <END>
<START:location> Золочів (49.80755, 24.90056) <END>
<START:location> Станція Ушиця (50.85848, 28.19625) <END>
<START:location> Радчиха (48.92488, 31.04237) <END>
<START:location> Кущівка (49.01352, 34.55115) <END>
<START:location> Журавлинка (50.47741, 29.03125) <END>
<START:location> Червоногород (48.80367, 25.59645) <END>
<START:location> Прихід В Честі Новопреподобномучениці Єлизавети (46.57808, 30.77639) <END>
<START:location> Ржавинці (48.50659, 26.07725) <END>
<START:location> Сапожино (50.7, 27.4) <END>
<START:location> Надзеюв (49, 24.08333) <END>
<START:location> Степне (48.40124, 28.26864) <END>
<START:location> Станція Придонецька (48.90617, 37.72248) <END>
<START:location> Станція Шимановський (47.81667, 33.25) <END>
<START:location> Єлизаветівка (50.24865, 29.14846) <END>
<START:location> Городской округ Армянськ (46.10871, 33.69095) <END>
<START:location> Качкарівка (46.55, 33.68333) <END>
<START:location> Остра Могила (48.48333, 39.38333) <END>
<START:location> Гайдайки (49.55463, 26.516) <END>
<START:location> Новоукраїнка (47.45043, 36.67452) <END>
<START:location> Чорнотисів (48.069, 23.05167) <END>
<START:location> Трудолюбівка (48.55706, 33.69504) <END>
<START:location> Шахтарський район (48, 38,5) <END>
<START:location> Урочище Нетреба (51.07123, 27.19289) <END>
<START:location> Білорічиця (50.67787, 31.99876) <END>
<START:location> Міжнародний аеропорт Одеса (46.42677, 30.67646) <END>
<START:location> Перевіз (50.17419, 33.98976) <END>
<START:location> Очеретувате (48.33943, 36.08956) <END>
<START:location> Сажка (50.14848, 33.70734) <END>
<START:location> Станція Глинна Наварія (49.73845, 23.89607) <END>
<START:location> Mashino (44.69915, 33.92274) <END>
<START:location> Шабо (46.12657, 30.38567) <END>
<START:location> Миколаївський район (49.5, 24) <END>
<START:location> Степове (48.91854, 36.12546) <END>
<START:location> Вулиця Зої Космодем'янської (46.33291, 30.66285) <END>
<START:location> Гуральня (48.68525, 28.73607) <END>
<START:location> Скосарівка (47.44407, 30.52626) <END>
<START:location> Нижній Струтин (48.93956, 24.11835) <END>
<START:location> Первомайський (47.97331, 38.78999) <END>
<START:location> Острожок (50.39774, 27.73764) <END>
<START:location> Чорнобривкине (51.35552, 33.82048) <END>
<START:location> Мотовилівська Слобідка (50.13005, 30.04317) <END>
<START:location> Круп'янське (48.16265, 26.07093) <END>
<START:location> Білосарайський залив (46.90333, 37.25278) <END>
<START:location> Балка Червона (47.58555, 34.96045) <END>
<START:location> Кольцовское сельское поселение (45.32838, 33.44921) <END>
<START:location> Поворськ (51.26565, 25.12898) <END>
<START:location> Будки Незнанівські (50.16667, 24.48333) <END>
<START:location> Духанки (51.62347, 30.86318) <END>
<START:location> Генуезька Вулиця (46.42775, 30.76551) <END>
<START:location> Гагаринський муніципальний округ (44.58521, 33.44667) <END>
<START:location> Хоменкове Друге (49.64848, 38.81588) <END>
<START:location> Дібрівка (50.95457, 27.49744) <END>
<START:location> Велика Ільїнівка (48.61794, 37.9834) <END>
<START:location> В'язовець (50.50653, 28.26461) <END>
<START:location> Борисове Озеро (50.08023, 34.071) <END>
<START:location> Прудниково (45.15733, 36.08006) <END>
<START:location> Богорожденка (47.3, 30.65) <END>
<START:location> Степанівка (47.9105, 30.19618) <END>
<START:location> Комишанка (50.84123, 34.14748) <END>
<START:location> Ручаївка (47.8812, 34.88269) <END>
<START:location> Велика Ведмежка (51.30604, 25.79825) <END>
<START:location> Буковець (48.20554, 24.93445) <END>
<START:location> Мічурінське (50.00436, 35.74744) <END>
<START:location> Шапошникове (50.83686, 34.67257) <END>
<START:location> Розлуч (49.23762, 22.97032) <END>
<START:location> Бориспіль (50.35269, 30.95501) <END>
<START:location> Тарасівка (49.13254, 31.06572) <END>
<START:location> Червоне (47.26231, 33.66124) <END>
<START:location> Юнашків (49.30775, 24.66214) <END>
<START:location> Sydoriache (50.12269, 34.91357) <END>
<START:location> Бугринівка (51.98726, 33.03237) <END>
<START:location> Borek (51.16667, 26.18333) <END>
<START:location> Драгиня (48.46248, 22.43743) <END>
<START:location> Сокологірне (46.50068, 34.94841) <END>
<START:location> Весьолоє (45.00814, 33.96079) <END>
<START:location> Федосіївка (48.31667, 32.2) <END>
<START:location> Виноминівка (49.66969, 35.03985) <END>
<START:location> Кам'янка (48.02786, 25.89964) <END>
<START:location> Тростянець (48.50915, 29.22742) <END>
<START:location> Поляна (49.5381, 22.76933) <END>
<START:location> Острів Круглий (45.29461, 28.70044) <END>
<START:location> Борисівка (46.94326, 35.62107) <END>
<START:location> Очеретянка (50.53773, 28.70613) <END>
<START:location> Burbyne (49.73314, 33.00794) <END>
<START:location> Урочище Новомихайлівка (45.55036, 35.03731) <END>
<START:location> Бакланова Муравійка (51.41048, 31.44823) <END>
<START:location> Андрушівка (49.36286, 29.22176) <END>
<START:location> Первомайський (47.9, 37.68333) <END>
<START:location> Зелений Гай (51.87464, 32.82066) <END>
<START:location> Вятка (51.45883, 33.96924) <END>
<START:location> Нарцизівка (50.58333, 28.18333) <END>
<START:location> Яроватка (48.90445, 30.11438) <END>
<START:location> Чоколівка (50.42493, 30.44983) <END>
<START:location> Городківка (48.37714, 28.6876) <END>
<START:location> Зелений (47.81667, 35.81667) <END>
<START:location> Верхньо-Студенецький (49.4, 39.3) <END>
<START:location> Костянтинівка (48.67243, 32.5326) <END>
<START:location> Ревуха (48.64375, 30.42827) <END>
<START:location> Камінне (48.75767, 24.7095) <END>
<START:location> Ялтинська гавань (44.49369, 34.16885) <END>
<START:location> Катеринівка (50.73078, 31.63027) <END>
<START:location> Новоастраханське (49.12262, 38.74497) <END>
<START:location> Орліновський муніципальний округ (44.45339, 33.78433) <END>
<START:location> Городниця (48.51593, 30.19865) <END>
<START:location> Долина (49.69931, 34.35343) <END>
<START:location> Імені Крупської (48.61389, 38.525) <END>
<START:location> Октябрьское (45.28866, 34.13521) <END>
<START:location> Новопіль (47.80733, 36.62448) <END>
<START:location> Збора (49.11908, 24.25564) <END>
<START:location> Високе (47.94407, 38.05804) <END>
<START:location> Новодністровськ (48.58321, 27.43658) <END>
<START:location> Развалини Новий Бит (46.62465, 36.25987) <END>
<START:location> Віролюбівка (48.59368, 37.68169) <END>
<START:location> Іванівка (49.25952, 27.1402) <END>
<START:location> Чемоданівка (50.95094, 33.91631) <END>
<START:location> Широке (49.66957, 33.61386) <END>
<START:location> Прага (48.00504, 37.7819) <END>
<START:location> Дмитрів (50.20096, 24.62917) <END>
<START:location> Іванівка (49.13899, 34.36904) <END>
<START:location> La Corvee (49.71306, -2.19917) <END>
<START:location> Ємилівка (50.68983, 28.73219) <END>
<START:location> Торосове (47.23098, 29.96976) <END>
<START:location> Озеро Холсти (52.12508, 33.33222) <END>
<START:location> Дмитрівка (48.75393, 37.38697) <END>
<START:location> Міжнародний аеропорт «Львів» (49.8125, 23.95611) <END>
<START:location> Superior Golf & Spa Resort (50.09013, 36.2613) <END>
<START:location> Золотоношка (49.50873, 32.1873) <END>
<START:location> Червоне (45.12294, 33.68662) <END>
<START:location> Бурштинська Міська Крада (49.25217, 24.6332) <END>
<START:location> Боришківці (48.55501, 26.36205) <END>
<START:location> Глиненка (51.81946, 31.12667) <END>
<START:location> Кривенкове (51.78159, 33.87786) <END>
<START:location> Шевченкове (50.42868, 31.829) <END>
<START:location> Білошицька Слобода (51.96789, 32.38318) <END>
<START:location> Бжезіна (51.56667, 26.28333) <END>
<START:location> Богородчани (48.80812, 24.53728) <END>
<START:location> Великий Вистороп (50.69568, 34.79353) <END>
<START:location> Екос Возз'єднання пр. (50.43962, 30.62073) <END>
<START:location> Коростишів (50.31565, 29.01907) <END>
<START:location> Карликівка (46.98349, 31.78579) <END>
<START:location> Морозівка (49.6075, 29.37542) <END>
<START:location> Бендерівка (51.68333, 32.43333) <END>
<START:location> Тополі (50.86658, 31.11153) <END>
<START:location> Медерове (48.56721, 32.66874) <END>
<START:location> Гнатівка (48.89461, 35.49284) <END>
<START:location> Сергіївка (47.77232, 30.33417) <END>
<START:location> Ізварине (48.28696, 39.89428) <END>
<START:location> Тепле (50.32029, 34.17413) <END>
<START:location> Іванківці (49.2989, 27.19453) <END>
<START:location> Вулиця Миру (49.23896, 27.14211) <END>
<START:location> Зупиночний Пункт Азовсталь (47.10195, 37.56484) <END>
<START:location> Станція Миколаївка-Донецька (48.37934, 36.34682) <END>
<START:location> Вулиця Михайла Грушевського (50.77781, 29.25912) <END>
<START:location> Лещенки (49.9429, 33.71625) <END>
<START:location> Восточное (45.21908, 35.02708) <END>
<START:location> Дуброва (51.21667, 28.21667) <END>
<START:location> Культебе (45.46417, 36.16278) <END>
<START:location> Єкатеринівка (46.06667, 34.61667) <END>
<START:location> Драниця (48.22735, 26.53286) <END>
<START:location> Грушів (50.56108, 24.47826) <END>
<START:location> Закутнівка (49.22275, 36.24148) <END>
<START:location> Кошани (50.93926, 30.96477) <END>
<START:location> Амвросіївський район (47.75, 38.5) <END>
<START:location> Гранівська (48.88013, 29.43687) <END>
<START:location> Boue La Greve (49.51111, -2.55056) <END>
<START:location> Нововасилівка (47.68718, 30.64774) <END>
<START:location> Золоті Пруди (48.73187, 37.02175) <END>
<START:location> Тутовичі (51.35061, 26.36225) <END>
<START:location> Вертіївка (51.17804, 31.88162) <END>
<START:location> Целінкіна (46.18333, 32.83333) <END>
<START:location> Арчепитівка (47.90701, 30.14742) <END>
<START:location> Успенка (50.79583, 35.26444) <END>
<START:location> Vilne (51.58523, 32.30136) <END>
<START:location> Розовий (44.69624, 34.32167) <END>
<START:location> Подовка Номер Другий (46.66667, 34.5) <END>
<START:location> Христівка (49.92144, 34.21987) <END>
<START:location> Creux du Derrible (49.42611, -2.35167) <END>
<START:location> Виїмка (48.80522, 38.14652) <END>
<START:location> Романівська Тергромада (50.17511, 27.94181) <END>
<START:location> Хутора Долматовські (46.23333, 32.51667) <END>
<START:location> Вороний (48.46667, 37.48333) <END>
<START:location> Рубанівка (46.99895, 34.173) <END>
<START:location> Веселий Поділ (49.60387, 33.18745) <END>
<START:location> Шепелівка (49.33011, 33.27595) <END>
<START:location> Павло-Олександрівка (49.28083, 36.06667) <END>
<START:location> Окоп (49.9609, 26.52639) <END>
<START:location> Гора Шаклар (45.15901, 36.16677) <END>
<START:location> Oktyabr'skoye sel'skoye poselenye (45.29095, 34.13547) <END>
<START:location> Бялогловий (49.75433, 25.33389) <END>
<START:location> Білосток (50.68519, 24.96879) <END>
<START:location> Темне (51.13064, 33.8682) <END>
<START:location> Дружба (50.41234, 30.53083) <END>
<START:location> Святе Озеро (50.21623, 26.83963) <END>
<START:location> Болотня (50.9391, 29.9259) <END>
<START:location> Вершинський Лиман (46.11129, 35.01778) <END>
<START:location> Ружа (48.86285, 26.33939) <END>
<START:location> Карпати (48.50729, 38.85807) <END>
<START:location> Дібрівка (49.6399, 32.03117) <END>
<START:location> Покровка (47.93464, 38.27767) <END>
<START:location> Тимошівка (47.1828, 35.1085) <END>
<START:location> Павловська Бухта (45.31108, 36.48731) <END>
<START:location> Ясинове (48.86742, 32.35407) <END>
<START:location> Кунцево (45.54622, 34.66412) <END>
<START:location> Гора Вапнярка (49.55, 24.26667) <END>
<START:location> Криничанське (48.59103, 38.75251) <END>
<START:location> Вежбова (48.78333, 25.75) <END>
<START:location> Монастир-Дережицький (49.34213, 23.45577) <END>
<START:location> Новомиколаївка (47.84813, 36.49098) <END>
<START:location> Гутисько-Тур'янське (50.10223, 24.88947) <END>
<START:location> Дніпровський міський район (48.46709, 35.0397) <END>
<START:location> Гора Наташина (45.30678, 36.11548) <END>
<START:location> Радошин (51.15985, 24.97929) <END>
<START:location> Бердянськ (46.75, 36.78333) <END>
<START:location> Мукша Китайгородська (48.6701, 26.61628) <END>
<START:location> Еразимівка (49.54233, 28.71341) <END>
<START:location> Басейн Венери (49.40806, -2.37333) <END>
<START:location> Жичка (48.71667, 24.66667) <END>
<START:location> Озеро Горілий Мох (51.92718, 32.32887) <END>
<START:location> Ульяновка (47.93333, 31.86667) <END>
<START:location> Старий Кривин (50.34722, 26.70486) <END>
<START:location> Sytne (50.18333, 25.41667) <END>
<START:location> Херсонський район (46.63737, 32.6151) <END>
<START:location> Приморське (46.05482, 33.39716) <END>
<START:location> Заводівка (47.04507, 33.7962) <END>
<START:location> Нападівка (49.8572, 27.06116) <END>
<START:location> Джерело (51.06352, 27.44379) <END>
<START:location> Роздольний (47.18781, 35.40288) <END>
<START:location> Боршевичі (49.661, 22.83404) <END>
<START:location> Ганівка (49.30059, 29.08226) <END>
<START:location> Кладовище Дубовий Гай (50.01962, 27.56259) <END>
<START:location> Dustruv (48.86072, 25.00966) <END>
<START:location> Павлоградський район (48.52635, 35.87008) <END>
<START:location> Заводище (50.22553, 33.64456) <END>
<START:location> Старі Богородчани (48.82857, 24.5255) <END>
<START:location> Єлизаветівка (48.30408, 37.44906) <END>
<START:location> Павлоградська Міська Рада (48.53967, 35.92274) <END>
<START:location> Великий Крупіль (50.49247, 31.50908) <END>
<START:location> Дертка (50.10278, 27.64323) <END>
<START:location> Луганськ (48.573269, 39.355659) <END>
<START:location> Річище (50.62815, 25.8006) <END>
<START:location> Підчашшя (51.43807, 29.24748) <END>
<START:location> Odradne (47.97522, 36.86001) <END>
<START:location> Нові Вирки (51.22189, 34.1698) <END>
<START:location> Гірник (48.05728, 37.3716) <END>
<START:location> Свято-Казанська Церква (46.50046, 30.72483) <END>
<START:location> Нововербське (48.54382, 36.33194) <END>
<START:location> Вінниця-750 (49.16509, 28.72358) <END>
<START:location> Велике (48.15802, 25.41364) <END>
<START:location> Вулиця Адмірала Лазарєва (46.46243, 30.72174) <END>
<START:location> Михайлівка Перша (50.07222, 36.53583) <END>
<START:location> Роднички (49.98846, 38.43555) <END>
<START:location> Нова Слобода (51.37819, 34.13331) <END>
<START:location> П'ятихатки (47.97202, 31.59858) <END>
<START:location> Гусакове (48.99597, 30.82476) <END>
<START:location> Poltavskoye sel'skoye poselenye (45.35233, 34.18284) <END>
<START:location> Myka (50.49357, 29.24144) <END>
<START:location> Сульжинівка (50.1943, 28.08877) <END>
<START:location> Махалівське Озеро (45.72885, 29.7938) <END>
<START:location> Новоіванівка (46.78141, 35.55548) <END>
<START:location> Крайня Вулиця (46.46278, 30.64438) <END>
<START:location> Об'їзна Дорога (46.48716, 30.61475) <END>
<START:location> Білий Берег (50.75922, 29.48065) <END>
<START:location> Sadovoye sel'skoye poselenye (45.30641, 34.64865) <END>
<START:location> Cambridge Park (49.46028, -2.54056) <END>
<START:location> Кодима (48.093941, 29.13368) <END>
<START:location> Mys Mykolaia (44.38708, 33.77859) <END>
<START:location> Красногірка (50.57834, 28.55446) <END>
<START:location> Вулиця Центральна (49.3423, 26.99816) <END>
<START:location> Зелений Гай (50.39567, 27.4133) <END>
<START:location> Ульянівка (47.16222, 29.66417) <END>
<START:location> Бідин (50.98256, 31.99767) <END>
<START:location> Пірс Кашальєр (49.70639, -2.19444) <END>
<START:location> Перевал Воловецький (48.72429, 23.18496) <END>
<START:location> Остапівка (50.02992, 32.23331) <END>
<START:location> Буньковичі (49.52535, 22.82965) <END>
<START:location> Рівне (48.17932, 23.54341) <END>
<START:location> Вузлове (50.22411, 24.54639) <END>
<START:location> Каплівка (48.44739, 26.51098) <END>
<START:location> Кіцмань (48.4425, 25.7613889) <END>
<START:location> Ochakovskaya Gavan’ (46.6, 31.53333) <END>
<START:location> Chateau d'Albecq (49.47583, -2.60694) <END>
<START:location> Ржищів (50.34972, 24.7688) <END>
<START:location> Артемівка (48.22381, 36.17626) <END>
<START:location> Головашівка (50.11556, 35.97378) <END>
<START:location> Перше Травня (51.06036, 32.62676) <END>
<START:location> Kodak (48.12, 33.68254) <END>
<START:location> Смиків (50.46103, 25.16482) <END>
<START:location> Вулиця Жовтнева (50.16115, 26.80219) <END>
<START:location> Станція Талалаївка (50.84609, 33.13863) <END>
<START:location> Желехув Малий (50, 24.41667) <END>
<START:location> Асторія (48.46806, 35.04) <END>
<START:location> Великопілля (46.9363, 32.65591) <END>
<START:location> Дорожне (45.64839, 34.46018) <END>
<START:location> Зелений Гай (48.50212, 36.61169) <END>
<START:location> Блистю (51.16667, 30.2) <END>
<START:location> Заліски (50.91242, 29.15847) <END>
<START:location> Каютово (48.31506, 38.20204) <END>
<START:location> Біловодське (50.64572, 33.47228) <END>
<START:location> Бірківка (51.44032, 32.00934) <END>
<START:location> Кудіївка (50.28913, 36.2602) <END>
<START:location> Ротмістрівка (49.14969, 31.71326) <END>
<START:location> HVDC Волгоград-Донбас - 1-й перетин кордону між Росією та Україною (48.81026, 39.78175) <END>
<START:location> Березовичі (50.79735, 24.57936) <END>
<START:location> Швачиха (50.37374, 31.28256) <END>
<START:location> Борусів (49.51844, 24.21121) <END>
<START:location> Теребовлянський район (49.29877, 25.6916) <END>
<START:location> Славковиці (51.05464, 29.42475) <END>
<START:location> Сома Степова Вулиця (46.44559, 30.68401) <END>
<START:location> Ягодинка (50.70435, 28.59165) <END>
<START:location> Калінінський район (48.00741, 37.85376) <END>
<START:location> Кулики (49.68288, 33.3195) <END>
<START:location> Ковалиха (49.1445, 31.78889) <END>
<START:location> Малий Ромен (51.03687, 33.1401) <END>
<START:location> Ічня (50.86258, 32.39425) <END>
<START:location> Новогорівка (47.3687, 35.5487) <END>
<START:location> Робочий Поселок Номер Другий (46.66667, 33.95) <END>
<START:location> Prudy (45.12307, 34.89437) <END>
<START:location> Chateau des Marais (49.47167, -2.53833) <END>
<START:location> Жуків (48.7076, 25.10133) <END>
<START:location> Бударки (50.39438, 37.42229) <END>
<START:location> Тарасівка (49.75671, 32.45564) <END>
<START:location> Зупиночний Пункт Стинава-Нижня (49.12767, 23.67497) <END>
<START:location> Вулиця Коновалова (50.91089, 29.04455) <END>
<START:location> Щебенка (48.19362, 38.14078) <END>
<START:location> Геленджик (47.99982, 35.73217) <END>
<START:location> Бесідка (49.3105, 30.27413) <END>
<START:location> Новоіларіонівське (48.33977, 35.74555) <END>
<START:location> Жуляни (50.39281, 30.44327) <END>
<START:location> Пирогівка (49.09457, 27.14297) <END>
<START:location> Долинне (45.06822, 34.9349) <END>
<START:location> Chestyne (50.02253, 24.32902) <END>
<START:location> La Villiaze (49.42722, -2.60583) <END>
<START:location> Металург (47.10203, 37.56079) <END>
<START:location> Шовкове (46.84682, 36.68545) <END>
<START:location> Бугаївка (48.54111, 38.66861) <END>
<START:location> Житомир (50.26487, 28.67669) <END>
<START:location> П'ятницьке (49.92364, 36.8092) <END>
<START:location> Авангард (49.46861, 36.62278) <END>
