<START:location> Strilkovychi (49.5, 23.13333) <END>
<START:location> Hannivka (48.95582, 35.6691) <END>
<START:location> Volodymyrske (50.44641, 31.8383) <END>
<START:location> Kyrpotyne (47.80669, 35.46754) <END>
<START:location> Shchaslyve (50.37852, 30.79582) <END>
<START:location> Lubenshchyna (49.4889, 33.70817) <END>
<START:location> Velyka Berezianka (49.42848, 30.55638) <END>
<START:location> Novaya Zhit’ya (49.43333, 28.86667) <END>
<START:location> Hudymy (50.57023, 33.31654) <END>
<START:location> Ust-Chorna (48.32472, 23.93439) <END>
<START:location> Verbove (48.11599, 22.90643) <END>
<START:location> Orishanka (50.24598, 35.94449) <END>
<START:location> Ripiana (49.27728, 22.88899) <END>
<START:location> Vysoke (50.74448, 35.46514) <END>
<START:location> Zghorilytsia (50.84944, 29.34495) <END>
<START:location> Ripky (49.2857, 30.56899) <END>
<START:location> Rozkopyntsi (48.49918, 27.44144) <END>
<START:location> Vasiutynske (48.71643, 37.72211) <END>
<START:location> Udachne (46.82152, 35.24289) <END>
<START:location> Zorynove (46.85732, 30.95796) <END>
<START:location> Tymofiivka (48.28092, 37.49029) <END>
<START:location> Rozizd Hrazhdanskyi (48.91623, 36.23191) <END>
<START:location> Ternuvate (47.42649, 35.56797) <END>
<START:location> Derevnia (50.15569, 24.03919) <END>
<START:location> Stepnoye (45.65212, 33.77441) <END>
<START:location> Bukove (48.60114, 24.37366) <END>
<START:location> Orekhov (48.875, 38.94833) <END>
<START:location> Novouspenivka (47.04984, 35.03413) <END>
<START:location> Synevyr (48.49947, 23.62179) <END>
<START:location> Mali Buchky (49.00216, 35.52886) <END>
<START:location> Shchotove (48.17217, 39.12596) <END>
<START:location> Stepne (47.61418, 37.13462) <END>
<START:location> Solidarne (46.52606, 33.82953) <END>
<START:location> Duninuv (48.65, 25.9) <END>
<START:location> Polivska (49.01667, 29.43333) <END>
<START:location> Chaplynskyi Kanal (46.30172, 33.30653) <END>
<START:location> Holovne (51.33654, 24.08163) <END>
<START:location> Stukalivka (49.98889, 32.4382) <END>
<START:location> Horbanivka (49.55372, 34.48926) <END>
<START:location> Ales (52.20927, 33.87615) <END>
<START:location> Osetrivka (46.72285, 31.53295) <END>
<START:location> Neshcheretove (49.39767, 38.79972) <END>
<START:location> Platforma 134 Km (48.98006, 35.30274) <END>
<START:location> Les Kaines d'Aval (49.42167, -2.65222) <END>
<START:location> Radyvyliv (50.12994, 25.25576) <END>
<START:location> Runia (48.03905, 23.63739) <END>
<START:location> Rozdolne (47.61736, 38.01894) <END>
<START:location> Myrna Street (49.84406, 27.24344) <END>
<START:location> Pyataya Stat'ya Khutor (47.73056, 29.54722) <END>
<START:location> Kamianka (49.77669, 30.01394) <END>
<START:location> Lehushi (50.5614, 33.88654) <END>
<START:location> Myla (50.44179, 30.16905) <END>
<START:location> Stantsiya Tsenzhev (49.00092, 24.59532) <END>
<START:location> Nahirne (49.45469, 34.01872) <END>
<START:location> Novopavlivka (48.40889, 39.07167) <END>
<START:location> Mel’niki (45.19909, 34.62307) <END>
<START:location> Topilnytsia (49.31114, 23.03699) <END>
<START:location> Verbovoye (48.46347, 30.44669) <END>
<START:location> Vasylivka (46.84998, 33.65357) <END>
<START:location> Post 17 km (50.4837, 30.55761) <END>
<START:location> Cherniakhiv (50.4415, 26.56059) <END>
<START:location> Imeni Chubarya Kolkhoz (47.62917, 29.75889) <END>
<START:location> Vyspa (49.49804, 24.45296) <END>
<START:location> Malynivka (50.55304, 28.01668) <END>
<START:location> Urozhaynoye (45.04522, 34.13511) <END>
<START:location> Ostriv Bilhorodskyi (45.44109, 29.62948) <END>
<START:location> Khortyts’kyy (47.81477, 35.04428) <END>
<START:location> Znamianka-Pasazhyrska (48.71067, 32.68983) <END>
<START:location> Shyroke (47.68683, 35.93583) <END>
<START:location> Zhuky (49.41996, 33.16716) <END>
<START:location> Truzhenka (47.38179, 37.22884) <END>
<START:location> Corblets Point (49.73028, -2.16972) <END>
<START:location> Mykolaivske Vodoskhovyshche (47.68328, 34.64693) <END>
<START:location> Tymofiivka (47.32388, 30.3396) <END>
<START:location> Butsynivka (46.7633, 30.21907) <END>
<START:location> Napadovka (49.61189, 28.5557) <END>
<START:location> Stare (50.42825, 31.62684) <END>
<START:location> Lytovshchyna (48.80856, 36.14388) <END>
<START:location> Skobelka (50.51256, 24.78322) <END>
<START:location> Imeni Gosudarstvennoye Politicheskoye Upravleniye Kolkhoz (47.46806, 29.43972) <END>
<START:location> Noryntsi (51.27195, 28.99059) <END>
<START:location> Novoprychepylivka (48.42846, 36.3623) <END>
<START:location> Ostriv (49.41065, 23.96148) <END>
<START:location> Temriuk (47.1746, 36.9596) <END>
<START:location> Naberezhna vulytsia (49.53055, 27.21481) <END>
<START:location> Domashiv (50.341, 23.858) <END>
<START:location> Nyzhnii Bereziv (48.40448, 24.85422) <END>
<START:location> Tarasa Shevchenka Street (50.78529, 29.29012) <END>
<START:location> Bystrytsia (48.45979, 24.246) <END>
<START:location> Mykolayivka (46.37305, 29.40531) <END>
<START:location> Pivche (47.9847, 38.29687) <END>
<START:location> Ostrivshchyna (48.87041, 36.63685) <END>
<START:location> Sosnivske (47.29744, 37.90742) <END>
<START:location> Neykron Nomer Pervyy (47.55, 35.5) <END>
<START:location> Dmytrivka (46.76319, 35.83308) <END>
<START:location> City Park Hotel Bila Tserkva (49.79593, 30.11737) <END>
<START:location> Ivana Franka (47.50138, 36.15799) <END>
<START:location> Zheleznodorozhnoye (44.7171, 33.80417) <END>
<START:location> Dragonya (48.65, 24.21667) <END>
<START:location> Petropavlivka (49.7203, 37.70544) <END>
<START:location> Balyntsi (48.54923, 25.2891) <END>
<START:location> Skelky (47.44, 35.1242) <END>
<START:location> Bobrovyi Kut (47.09983, 32.94414) <END>
<START:location> Bedrykivtsi (49.21595, 26.54696) <END>
<START:location> Zaluzhzhia (49.40022, 24.59984) <END>
<START:location> Hnyla Orzhytsia (50.41844, 31.94282) <END>
<START:location> Lokit (48.425, 22.98402) <END>
<START:location> Korsunivka (49.80568, 35.54693) <END>
<START:location> Likhov (49.91667, 35.71667) <END>
<START:location> Urochishche Verkhhyaya Zhalobnitsa (51.51644, 28.05332) <END>
<START:location> Prechystivka (47.78172, 37.07086) <END>
<START:location> Berestove (48.06545, 35.88975) <END>
<START:location> Balka Kholodnyy Yar (50.219, 36.82232) <END>
<START:location> Starovyshnevetske (48.32858, 35.67508) <END>
<START:location> Shyshkivka (49.87523, 37.29186) <END>
<START:location> Nuyno-Staroye (51.54031, 24.89328) <END>
<START:location> Vodolaha (49.70807, 35.87854) <END>
<START:location> Кам'янка-Дніпровська (47.488911, 34.400761) <END>
<START:location> Univermag Ukraina (50.44624, 30.4919) <END>
<START:location> Tsmivka (50.25619, 27.3081) <END>
<START:location> Ryabokonevka (49.96667, 37.56194) <END>
<START:location> Novoznamianka (49.88333, 38.11667) <END>
<START:location> Hrachivka (50.27552, 37.4563) <END>
<START:location> Zlatoustivka (47.88258, 33.73513) <END>
<START:location> Derzhanivka (51.06492, 31.3402) <END>
<START:location> Ostanovochnyy Punkt 142 km (48.34714, 39.79549) <END>
<START:location> Vynokurnia (48.77027, 28.54895) <END>
<START:location> Derkachi (50.0269, 33.56959) <END>
<START:location> Velyki Heivtsi (48.50943, 22.3315) <END>
<START:location> Morgi (49.78333, 23.71667) <END>
<START:location> Tsvitkove (47.69778, 36.12666) <END>
<START:location> Kurhan (48.17881, 38.97839) <END>
<START:location> Velykyy Katlabuh (45.5945, 28.95921) <END>
<START:location> Dobra Nadiya (47.04271, 32.16123) <END>
<START:location> Le Villocq (49.46806, -2.57583) <END>
<START:location> Lazurnoye (44.63189, 34.38612) <END>
<START:location> Byshkin' (49.23659, 39.57835) <END>
<START:location> Galushchintsy (49.52473, 25.90099) <END>
<START:location> Sprynia (49.37778, 23.14031) <END>
<START:location> Bukhalove (50.48212, 33.79657) <END>
<START:location> Slovianka (48.06892, 37.1288) <END>
<START:location> Chervonyi Sadok (48.32156, 35.05722) <END>
<START:location> Myronivka (49.13146, 36.26704) <END>
<START:location> Illicha (47.85, 33.45) <END>
<START:location> Stantsiya Varvaropol’ye (48.61667, 38.56667) <END>
<START:location> Kukoby (49.68259, 32.72821) <END>
<START:location> Nova Sich (47.61026, 33.78403) <END>
<START:location> Olyne (51.82959, 33.78681) <END>
<START:location> Mali Vilmy (50.90991, 34.66105) <END>
<START:location> Dihtiv (50.75633, 24.21154) <END>
<START:location> Kozhumiaky (47.24686, 34.22844) <END>
<START:location> Holiatyn (48.6396, 23.4271) <END>
<START:location> Tiasmyn (49.06476, 32.80234) <END>
<START:location> Peremoha (46.66807, 35.25036) <END>
<START:location> Novohryhorivka (47.5045, 37.8265) <END>
<START:location> Skelia Stupinchasta (49.2201, 22.96614) <END>
<START:location> Sloboda-Komarivtsi (48.22842, 25.62757) <END>
<START:location> Rudnya Piskivs'ka (50.7, 29.58333) <END>
<START:location> Serhiivka (49.10451, 36.27761) <END>
<START:location> Shniakivka (50.72965, 31.9423) <END>
<START:location> Newtown (49.71917, -2.19972) <END>
<START:location> Dmytrivka (51.03098, 33.84674) <END>
<START:location> Bairak (49.89433, 35.88496) <END>
<START:location> Mukhuvate (50.76174, 33.79988) <END>
<START:location> Peredil (51.80797, 32.13009) <END>
<START:location> Krasne (49.40241, 36.14274) <END>
<START:location> Odradove (46.68569, 30.44443) <END>
<START:location> Drozdiv (50.64952, 26.55863) <END>
<START:location> Mii Dim (50.76523, 29.23935) <END>
<START:location> Nahirne (47.97639, 35.18811) <END>
<START:location> Pesakhivki (49.06667, 28.01667) <END>
<START:location> Kamyano-Kostuvate (47.99594, 31.57324) <END>
<START:location> Malomykhayilivske (47.32017, 32.91093) <END>
<START:location> Boiarivka (50.9702, 31.15839) <END>
<START:location> Novo-Ukrainka (47.95, 33.36667) <END>
<START:location> Kremne (51.0736, 28.24422) <END>
<START:location> Les Mielles (49.49889, -2.52028) <END>
<START:location> Havrylivka (49.01209, 38.67425) <END>
<START:location> Vyshka (48.94458, 22.69448) <END>
<START:location> Dubovychi (51.63377, 33.56999) <END>
<START:location> Ostry Rug (51.65, 26.21667) <END>
<START:location> Sholudky (48.91055, 28.79485) <END>
<START:location> Razvaliny Novobeliki (47.73321, 35.84733) <END>
<START:location> Vilino (44.8456, 33.67161) <END>
<START:location> Essex Hill (49.71583, -2.17861) <END>
<START:location> Hryanykivka (49.9, 37.78333) <END>
<START:location> Adamovka (47.66722, 29.61611) <END>
<START:location> Kuropiivka (51.69745, 31.98247) <END>
<START:location> Yampilchyk (49.00447, 26.40351) <END>
<START:location> Chapayevskoye (49.85718, 36.5957) <END>
<START:location> Pershopokrovka (47.01193, 34.48879) <END>
<START:location> Voronenko (48.29439, 24.49827) <END>
<START:location> Vesela Tarasivka (48.52844, 39.0925) <END>
<START:location> Nekremenka (48.87933, 37.18195) <END>
<START:location> Stanislavchyk (48.96887, 28.106) <END>
<START:location> Kovray (49.74749, 31.85321) <END>
<START:location> Stantsiia Terebovlia (49.29858, 25.69625) <END>
<START:location> Sapohove (50.80091, 25.44968) <END>
<START:location> Bohuns'kyi Rayon (50.25, 28.66667) <END>
<START:location> Розгирче (49.12265, 23.68858) <END>
<START:location> Makartsivka (49.66842, 34.35984) <END>
<START:location> Sukha Moskovka (47.83435, 35.04716) <END>
<START:location> Dovzhans’kyy (48.04482, 39.65216) <END>
<START:location> Petrashivka (48.30194, 28.16194) <END>
<START:location> Berezivka (48.60493, 31.26984) <END>
<START:location> Odariukivka (49.73979, 34.35676) <END>
<START:location> Коломия (48.53146, 25.039709) <END>
<START:location> Shkavrove (49.26753, 35.54996) <END>
<START:location> Semykhatka (46.17168, 34.73349) <END>
<START:location> Borshchivka (47.83573, 29.50674) <END>
<START:location> Ostapivka (51.41998, 32.34328) <END>
<START:location> Otradnyy (48.13333, 37.2) <END>
<START:location> Sofiyevka (51.48333, 34.08333) <END>
<START:location> La Picaterre (49.7191, -2.21164) <END>
<START:location> Vasilyevka (47.63361, 29.77444) <END>
<START:location> Shakhvorostivka (50.24761, 29.10127) <END>
<START:location> Severinovka (46.86111, 36.82) <END>
<START:location> Vitonizh (50.98422, 24.88205) <END>
<START:location> Borodianka (50.64484, 29.9201) <END>
<START:location> Kavuny (47.90732, 31.27707) <END>
<START:location> Bazarivka (51.2533, 28.7235) <END>
<START:location> Chubyntsi (49.8256, 29.68209) <END>
<START:location> Pidhirne (48.48188, 34.3486) <END>
<START:location> Otradnoye (44.50485, 34.21125) <END>
<START:location> Petrivske (48.38374, 36.86359) <END>
<START:location> Stantsiya Polkovoy (47.90617, 38.11404) <END>
<START:location> Nikopolbud (47.60743, 34.26842) <END>
<START:location> Traktove (48.53303, 28.25895) <END>
<START:location> Pokrovka (47.35326, 31.52365) <END>
<START:location> Solyani (47.00669, 31.99748) <END>
<START:location> Saint Feder Hotel (49.83968, 24.02972) <END>
<START:location> Marmurova (44.7955, 34.28215) <END>
<START:location> Viktorynivka (51.14047, 33.82987) <END>
<START:location> Velyka Kozara (50.13774, 27.87236) <END>
<START:location> Staromanzyrskyi Zakaznyk (46.44273, 29.33321) <END>
<START:location> Volochysk (49.53606, 26.20681) <END>
<START:location> Rybalche (46.47514, 32.23657) <END>
<START:location> Pavlivske (51.07395, 34.11315) <END>
<START:location> Pyshchalnyky (49.82997, 31.2895) <END>
<START:location> Babychi (50.2085, 24.51531) <END>
<START:location> Yevreiska Vulytsia (46.47867, 30.73206) <END>
<START:location> Grushiv (49.8841, 31.21817) <END>
<START:location> Yarovitskoye (47.15, 36.8) <END>
<START:location> Peremohy Street (51.01937, 29.34344) <END>
<START:location> Pershe Travnia (51.80301, 34.01583) <END>
<START:location> Romashka (48.49292, 28.09874) <END>
<START:location> Чорнобиль (51.2666667, 30.2166667) <END>
<START:location> Vyrka (48.30293, 22.5558) <END>
<START:location> Blyzhnie (52.09533, 31.35219) <END>
<START:location> Bunakove (49.23058, 36.53147) <END>
<START:location> Hannivka (46.43458, 29.05541) <END>
<START:location> Zaporizke (47.73658, 34.84693) <END>
<START:location> Ivanovychi (50.47084, 28.3605) <END>
<START:location> Zirka (51.21426, 29.43133) <END>
<START:location> Zaliv Vlyubskiy (52.22227, 33.33051) <END>
<START:location> Tartakovets (50.45, 24.41667) <END>
<START:location> Veselynivka (47.34473, 30.73457) <END>
<START:location> Yanchur (47.87512, 36.19428) <END>
<START:location> Vysokosovo (52.08504, 33.82988) <END>
<START:location> Chervonyi Yar (48.14308, 33.85213) <END>
<START:location> Novoielanchyk (47.77972, 38.43221) <END>
<START:location> Semysotka (46.3176, 29.41628) <END>
<START:location> Pidberezzia (50.53643, 24.63164) <END>
<START:location> Sofiyevka (46.35, 33.68333) <END>
<START:location> Carmel (49.44, -2.55972) <END>
<START:location> Orikhanove (50.34243, 33.90175) <END>
<START:location> Golubivka (49.68097, 29.16059) <END>
<START:location> Prosiane (49.59182, 39.66395) <END>
<START:location> Razvaliny Plodorodovskoye (47.14948, 35.26009) <END>
<START:location> Zelena Dibrova (49.1314, 31.20574) <END>
<START:location> Obukhivka (47.98061, 31.47621) <END>
<START:location> Biinychi (49.32647, 23.70569) <END>
<START:location> Klyn (50.43341, 25.50588) <END>
<START:location> Prybyliv (48.77323, 24.99418) <END>
<START:location> Bilytske (48.40642, 37.18111) <END>
<START:location> Nadiia (48.03337, 34.93421) <END>
<START:location> Slyvky (48.77878, 24.20332) <END>
<START:location> Sonino (50.06966, 37.54589) <END>
<START:location> Trudivka (48.71272, 33.34904) <END>
<START:location> Popasne (49.00185, 38.84142) <END>
<START:location> La Greve de la Ville (49.44, -2.35111) <END>
<START:location> 2nd Kashtanovyi Lane (50.76699, 29.26675) <END>
<START:location> Zaiachkivka (48.64921, 30.35213) <END>
<START:location> Baburka (47.79574, 35.0646) <END>
<START:location> Rokitnovskiy Rayon (51.41667, 27.41667) <END>
<START:location> Oleshnia (50.4041, 34.73718) <END>
<START:location> Krasnyanka (48.89224, 28.63641) <END>
<START:location> Yelizavetovka (47.65, 29.56667) <END>
<START:location> Kerch (45.35, 36.48333) <END>
<START:location> Antonovychi (51.57912, 30.91899) <END>
<START:location> Berezhest (51.47398, 28.95323) <END>
<START:location> Horenychi (50.41472, 30.20593) <END>
<START:location> Kochetivka (49.22201, 35.23467) <END>
<START:location> Zahatka (50.31515, 25.04771) <END>
<START:location> Vershynivka (47.48795, 38.14523) <END>
<START:location> Sadkivtsi (48.35077, 27.92121) <END>
<START:location> Stantsiya Gvozdets (48.58118, 25.28689) <END>
<START:location> Podgorodneye (47.76095, 33.39094) <END>
<START:location> Pershotravneve (49.99297, 36.93641) <END>
<START:location> Brodets (50.68231, 28.04191) <END>
<START:location> Kuzmenka (46.73492, 30.25774) <END>
<START:location> Budatskyi Lyman (45.99458, 30.35092) <END>
<START:location> Ishun'skoye sel'skoye poselenye (45.92083, 33.82733) <END>
<START:location> Vysokyi Kamin (50.36596, 29.14066) <END>
<START:location> Hrushiv (50.09322, 23.30072) <END>
<START:location> Buhliv (49.76428, 26.05914) <END>
<START:location> Zdorivka (50.19857, 30.25303) <END>
<START:location> Simferopolske Vodoskhovyshche (44.9246, 34.15491) <END>
<START:location> Drozdovichi (49.70252, 22.8693) <END>
<START:location> Balka Tavezhnaya (49.51391, 38.97555) <END>
<START:location> Perebrody (51.72572, 26.98838) <END>
<START:location> Bondarivka (51.4272, 32.41313) <END>
<START:location> Podil (50.63947, 32.91387) <END>
<START:location> Bezrukivka (50.16542, 36.13373) <END>
<START:location> Romashky (46.77207, 35.15906) <END>
<START:location> Burlaky (49.83485, 32.97913) <END>
<START:location> Orlovka (45.66886, 33.374) <END>
<START:location> Sula (50.39855, 33.40117) <END>
<START:location> Vasil’kovshchina Pervaya (51.7, 33.43333) <END>
<START:location> Orlovets' (49.22802, 31.58621) <END>
<START:location> Zazdrivka (50.56841, 28.31238) <END>
<START:location> Устилуг (50.86, 24.15) <END>
<START:location> Oleksiivka (47.28981, 34.24761) <END>
<START:location> Ternovi Pody (46.8606, 32.38664) <END>
<START:location> Podvirky (49.97987, 36.09238) <END>
<START:location> Velyka Komyshuvakha (49.10364, 36.99492) <END>
<START:location> Svitlychne (50.43706, 32.71645) <END>
<START:location> Andriivka (48.79854, 31.59779) <END>
<START:location> Symynivka (50.21478, 36.89475) <END>
<START:location> Sribne (48.10562, 37.01373) <END>
<START:location> Dubivka (50.27604, 36.21089) <END>
<START:location> Mykolaivka-Ternivska (51.07722, 34.04167) <END>
<START:location> Davydivka (49.44282, 34.16028) <END>
<START:location> Danylivka (48.94199, 36.88373) <END>
<START:location> Betmanove (48.19745, 37.9073) <END>
<START:location> Sokolivka (49.90731, 30.20601) <END>
<START:location> Skorinets (51.316, 31.30627) <END>
<START:location> Lymanske (46.80109, 31.43483) <END>
<START:location> Zverevo (47.41667, 30.55) <END>
<START:location> Stantsiya Tshchenets (49.80734, 23.08599) <END>
<START:location> Vokzalna Square (50.77417, 29.29456) <END>
<START:location> Kerch Airport (45.3725, 36.4014) <END>
<START:location> Gulevtsy (49.53333, 28.5) <END>
<START:location> Gora Popovtse (49.06688, 23.68684) <END>
<START:location> Sokolovshchina (49.74995, 34.37736) <END>
<START:location> Oleksandrivka (48.18466, 33.9058) <END>
<START:location> Vasyshcheve (49.83465, 36.33123) <END>
<START:location> Shevchenko (51.21667, 28.88333) <END>
<START:location> Staryk (51.36045, 30.66806) <END>
<START:location> Svatovo (45.81293, 33.86702) <END>
<START:location> Ostriv Shkelka (45.32574, 28.70162) <END>
<START:location> Yanchenky (51.10907, 34.26324) <END>
<START:location> Nemyriv (50.10463, 23.43609) <END>
<START:location> Batkiv (49.83823, 25.23166) <END>
<START:location> Mindal’noye (44.84874, 35.04374) <END>
<START:location> Urdu-Flavantuch (48.23161, 24.23644) <END>
<START:location> Mykolaivka (51.02157, 27.98367) <END>
<START:location> Kamenskoye (45.28183, 35.52596) <END>
<START:location> Bereznyky (48.51111, 23.22186) <END>
<START:location> Prospekt Svobody (46.35017, 30.70246) <END>
<START:location> Petrivka (47.51825, 29.73865) <END>
<START:location> Simerky (48.7585, 22.57749) <END>
<START:location> Novomyrivka (47.48436, 33.07084) <END>
<START:location> Ostanovochnyy Punkt Zhirovo (49.4202, 24.24818) <END>
<START:location> Bystryy (48.33324, 23.60733) <END>
<START:location> Kuren’ki (50.2825, 37.59222) <END>
<START:location> Кам'янка (49.036347, 32.103481) <END>
<START:location> Pylypenky (49.721, 33.73274) <END>
<START:location> Staryy Nizhborok (49.13985, 26.04733) <END>
<START:location> Trubivshchyna (50.16246, 31.79685) <END>
<START:location> Kalynivka (47.78172, 33.49087) <END>
<START:location> Stav Venera (51.68603, 27.06998) <END>
<START:location> Lozova City Council (48.89072, 36.35306) <END>
<START:location> Stantsiia Sovnarkomivska (49.95187, 35.84884) <END>
<START:location> Vinohradnyy Sad (47.76123, 31.17466) <END>
<START:location> Nefedivtsi (48.69718, 26.92224) <END>
<START:location> Sirotin Yar (51.18111, 34.56611) <END>
<START:location> Ozero Tuchne (51.93123, 25.15512) <END>
<START:location> Marynivka (47.86656, 38.85871) <END>
<START:location> Svyato-Arkhangelo-Mikhaylovskiy Zhenskiy Monastyr’ (46.47629, 30.75186) <END>
<START:location> Olenivka (49.58865, 35.54613) <END>
<START:location> Peshchera Gora Kachi-Kal’yen (44.7, 33.9) <END>
<START:location> Ozero Bile (51.48403, 25.75792) <END>
<START:location> Obych (50.14294, 26.02308) <END>
<START:location> Stal’noye (44.87034, 33.8745) <END>
<START:location> Poplavka (47.61874, 29.74924) <END>
<START:location> Peshchera Gora Mangup-Kale (44.6, 33.8) <END>
<START:location> PushkinParkTestName (50.45816, 30.45369) <END>
<START:location> Staromlynivske Vodoskhovyshche (47.67318, 36.88033) <END>
<START:location> Rogovo (45.32547, 33.96533) <END>
<START:location> Prydniprianske (48.77791, 34.28628) <END>
<START:location> Hynkivtsi (48.77435, 25.74958) <END>
<START:location> Shkuranka (51.61291, 30.68676) <END>
<START:location> Okulki (49.76667, 23.48333) <END>
<START:location> Hora Minhol (49.08018, 23.15619) <END>
<START:location> Lenina Street (44.95026, 34.1093) <END>
<START:location> Hrynivtsi (49.88665, 27.74531) <END>
<START:location> Slobidka (46.9297, 30.07994) <END>
<START:location> Tochevyky (50.35038, 26.3539) <END>
<START:location> Pisarivka (49.52743, 28.48552) <END>
<START:location> Perebudovets (51.15, 28.28333) <END>
<START:location> Glubokiy (49.58861, 38.59575) <END>
<START:location> Berezhnytsya (48.30032, 25.35712) <END>
<START:location> Fedoro-Mikhayilivka (47.76931, 32.06543) <END>
<START:location> Gorlinka (45.00987, 34.75292) <END>
<START:location> Rakoshyno (48.46631, 22.59692) <END>
<START:location> Mykolayivka (48.01601, 30.6091) <END>
<START:location> Pobityy Yar (49.33361, 38.045) <END>
<START:location> Blahovishchenske Raion (48.33206, 30.23528) <END>
<START:location> Shushvalivka (49.35713, 32.90783) <END>
<START:location> Kurgan Mogila Chubataya (47.97658, 35.17241) <END>
<START:location> Hrushovo (48.00677, 23.77426) <END>
<START:location> Tysovytsia (49.3398, 22.91325) <END>
<START:location> Gora Roka (44.50586, 34.07534) <END>
<START:location> Stepove (48.74715, 36.5209) <END>
<START:location> Ulianivka (47.43583, 29.45552) <END>
<START:location> Kashkarne (49.86309, 38.10526) <END>
<START:location> Orishkovtsy (49.82595, 26.12574) <END>
<START:location> Boiove (46.28671, 34.6505) <END>
<START:location> Shchyrets (49.65296, 23.85826) <END>
<START:location> Mshanets (51.3466, 24.18144) <END>
<START:location> Zarichchia (51.37806, 24.8148) <END>
<START:location> Dudky (50.77601, 30.08731) <END>
<START:location> Vinogradnenskoye sel'skoye poselenye (45.29349, 35.84607) <END>
<START:location> Vashkivtsi (48.4094, 27.13221) <END>
<START:location> Oleshky (46.63178, 32.83343) <END>
<START:location> Hryhorivka (49.92408, 31.406) <END>
<START:location> Velyki Yunachky (49.83203, 26.94374) <END>
<START:location> Selevyntsi (48.96836, 28.88481) <END>
<START:location> Novopokrovka (47.43946, 30.80394) <END>
<START:location> Modorosh (48.07537, 23.34312) <END>
<START:location> Chervonozavodskiy Rayon (49.92736, 36.21918) <END>
<START:location> Perekop (46.31541, 35.02527) <END>
<START:location> Tysalovo (48.18299, 23.75012) <END>
<START:location> Chechelivskyi Raion (48.43687, 34.99551) <END>
<START:location> Urochyshche Baklanove (45.96274, 34.36577) <END>
<START:location> Godovytsya (49.76667, 23.91667) <END>
<START:location> Zinkivske (50.08627, 35.86389) <END>
<START:location> Vydyniv (48.44691, 25.4262) <END>
<START:location> Krasnokutska Terhromada (50.06499, 35.15546) <END>
<START:location> Trudove (45.61865, 29.39804) <END>
<START:location> Pashchenivka (49.88112, 35.20786) <END>
<START:location> Moloha (46.21653, 30.23078) <END>
<START:location> Bertianka (48.41504, 24.05011) <END>
<START:location> Melnyky (50.5847, 33.3608) <END>
<START:location> Val (51.81667, 24.71667) <END>
<START:location> Mykhaylivka (47.95672, 31.49088) <END>
<START:location> Four Points By Sheraton Zaporo (47.80139, 35.14214) <END>
<START:location> Dovzhyk (51.86738, 32.68176) <END>
<START:location> Mysliv (49.00568, 24.50326) <END>
<START:location> Duby (50.69239, 26.48582) <END>
<START:location> Stantsiia Kaidatska (48.48201, 34.98357) <END>
<START:location> Veselohorivka (48.47372, 38.4556) <END>
<START:location> Prymorske (47.6449, 35.29074) <END>
<START:location> Horodyshche (50.14815, 28.71148) <END>
<START:location> Merchyk (50.00794, 35.76331) <END>
<START:location> Zuivskyi Tupyk (48.04016, 38.25256) <END>
<START:location> Hryshivtsi (48.94885, 28.3455) <END>
<START:location> Dmytrenky (49.43359, 34.29892) <END>
<START:location> Yar Klinovyy (49.37639, 38.74056) <END>
<START:location> Urochishche Nadol’skoye (51.93103, 25.27416) <END>
<START:location> Rudenkove (51.0244, 34.18227) <END>
<START:location> Petrenkov (51.13333, 34.18333) <END>
<START:location> Krasna Hirka (51.98012, 33.24048) <END>
<START:location> Pichuhino (48.01671, 33.60108) <END>
<START:location> Baranivka (50.37514, 35.97329) <END>
<START:location> Myrne (48.38562, 33.61017) <END>
<START:location> Novobakhmutivka (48.23955, 37.83295) <END>
<START:location> Bazova Vulytsia (46.42881, 30.64747) <END>
<START:location> Sroki (49.63333, 23.8) <END>
<START:location> Unava (49.9924, 29.56667) <END>
<START:location> Zhovkva (50.05, 23.96667) <END>
<START:location> Jalynkuvate (48.73887, 23.46954) <END>
<START:location> Steblivka (48.09018, 23.42386) <END>
<START:location> Petropavlivka (47.2935, 33.5703) <END>
<START:location> Novyy Buh Raion (47.69043, 32.51397) <END>
<START:location> Ivakhnivtsi (49.09265, 26.37343) <END>
<START:location> Mys Sary-Kamysh (46.625, 31.875) <END>
<START:location> Parypsy (50.13333, 23.53333) <END>
<START:location> Stantsiia Urozhainyi (49.81815, 38.48277) <END>
<START:location> Pasichnyky (49.50131, 34.01724) <END>
<START:location> Veselka (49.95, 27.93333) <END>
<START:location> Zadilske (48.76258, 23.06539) <END>
<START:location> Solotvina (48.38002, 25.2294) <END>
<START:location> Urochishche Pravoye (51.58449, 27.65316) <END>
<START:location> Nizhne-Basy (50.86667, 34.83333) <END>
<START:location> Cherkesy (46.0774, 30.21195) <END>
<START:location> Morozova Dolyna (50.30804, 35.73166) <END>
<START:location> Sadky (50.89087, 26.3334) <END>
<START:location> Kamyanka (46.80158, 30.11273) <END>
<START:location> Reshetilovskiy Kut (48.66667, 35.28333) <END>
<START:location> Imeni Voroshilova Kolkhoz (47.38028, 29.46278) <END>
<START:location> Shchedrohir (51.80004, 24.78211) <END>
<START:location> Pratsiuky (51.49069, 26.4558) <END>
<START:location> Volya Ostrovetska (51.28333, 23.88333) <END>
<START:location> Stepanovka (45.59498, 34.88128) <END>
